Scale,Energy / electricity types covered by target ,Base year,Total renewable energy / electricity covered by target in base year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in base year,Target year,Total renewable energy / electricity covered by target in target year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in target year,Percentage of target achieved,Plans to meet target (include details on types of energy/electricity),city_full
City-wide,All electricity consumed (in MWh),2019,9644,5.24,2035,184049,100,5.24,,Abington Township
City-wide,Total installed capacity of renewable energy (in MW),2007,0,0,2050,100,15,2,"Presumption is all 160 MW will be solar photovoltaic. To be achieved throughpromotion, incentives, removal of state regulatory barriers toPV deployment, and use of advanced technologies (e.g.buildingintegratedPV including vertical panels).","Arlington, VA"
City-wide,All electricity produced (in MWh),2015,,0,2040,,20,1,Community Energy Strategic PlanRenewable Energy Action PlanGreenhouse Gas Inventory,"Broward County, FL"
Local government operations,All energy consumed (in MWh),,,,2035,,100,,"We plan to meet this target with a mixed approach of energy efficiency upgrades as well as renewable energy. We are in the process of identifying and assessing the feasibility of local sites to size a solar installation, as well as leveraging energy resources already owned and/or operated by the City to meet this target.",City of Ann Arbor
Local government operations,Other: MMBtu,2019,89224,100,2030,,,0,In process. Draft to be finalized by the end of the summer.  Our county has a community wide goal which we have resolved to support.,City of Asheville
City-wide,All electricity consumed (in MWh),2017,,100,2035,,100,6,100atl.com,City of Atlanta
,,,,,,,,,,"City of Aurora, IL"
City-wide,All energy produced (in MWh),,,,2027,,65,50,The goal is to generate 65% of customer load with renewable sources and in 2018 Austin Energy produced 34.5% of customer load from renewable sources. https://austinenergy.com/wcm/connect/6dd1c1c7-77e4-43e4-8789-838eb9f0790d/2027+Austin+Energy+Resource+Plan+20171002.pdf?MOD=AJPERES&CVID=lXv4zHS,City of Austin
City-wide,Total installed capacity of renewable electricity (in MW),2010,11,0.0005,2020,3300,15,0.003333333,"The city currently has 11 megawatts for solar going to city buildings with the highest energy costs and has plans for onsite solar on landfills and on the 21st century schools being constructed. The City supports Maryland's pilot community solar program and is partner on Community Solar projects.  The city's community resiliency hubs will have onsite solar. A city initiative, Baltimore Shines, has installed solar on the roofs of 30 low income homes and has a plan to install solar on 1,000 more.",City of Baltimore
Local government operations,All electricity consumed (in MWh),2013,,,2020,,100,100,,"City of Beaverton, OR"
City-wide,Total installed capacity of renewable electricity (in MW),2014,14.3,,2020,37.5,,100,Capacity goal of 25 MW.NOTE: The 2020 target was set in our 2014 Climate Action Plan Update. We are currently updating our Climate Action Plan and our targets.,City of Boston
City-wide,All energy consumed (in MWh),2005,47639.28,4,2030,1190982,100,28,"Making a transition to a renewable energy future will require the rapid transition to 100 percent renewable electricity  and Boulder has set a goal to achieve this 100% renewable electricity by 2030. Boulder’s electricity generation mix is determined by the electric utility and therefore achieving this goal will require the following actions: (1) Reduce the need for additional generation through continued improvements in energy efficiency and productivity. Actions include: expand the energy services provided by the city and expand on-site solar installations across the community; (2) Replace all coal and natural gas electricity generation with renewable energy systems such as solar and wind. Actions include: assume operational authority and begin operations of an electric utility, and analyze local generation opportunities including combined heat and power, heating/cooling district analysis and energy storage infrastructure development; (3) Redesign the existing electricity delivery system to make it more reliable, more secure and more supportive of a diverse mix of electricity sources. Actions include: work with both institutional and private sector partners to pilot projects integrating local energy system designs with alternative electricity distribution systems, map critical community infrastructure and operations and identify opportunities to develop and deploy energy system upgrades that enable these sites to sustain operations during periods of power grid disruption, and launch the next round of community innovation investments through the Boulder Energy Challenge. Progress is tracked in the annual inventory and also reported here: https://bouldercolorado.gov/climate/climate-goal-progress",City of Boulder
Local government operations,All energy consumed (in MWh),2005,,,2020,,100,,"Measure A in the climate action plan under energy measures (municipal): ""The City will request either participation in the CCE program with the purchase of 100% renewable energy or enrollment in an energy offset program to offset city GHG emissions from electricity and natural gas. The offsets will be State of California approved.""","City of Brisbane, CA"
City-wide,All energy consumed (in MWh),2018,,,2030,,100,,"Burlington has  a goal of being a net zero energy city by 2030. Burlington already produces 100% of its electricity from renewable resources. To eliminate natural gas and petroleum consumption, Burlington will endeavor to electrify space and water heating and transportation, improve building efficiency, and reduce annual miles traveled by vehicles registered in Burlington by improving alternative transportation options.",City of Burlington
City-wide,All energy consumed (in MWh),2009,350137.5,3.749994645,2036,2801100,30,5,"In January of 2006 Calgary launched a massive public engagement initiative called ""imagineCalgary"" which asked participants to set aspirational goals in shaping the city's future in 30 years (2036) and 100 years.   In the ""energy"" category participants agreed on a goal that by 2036, 30 per cent of Calgary’s energy derives from low-impact renewable sources.The provincial government has made public statements around renewable energy targets for the Alberta grid. The Government of Alberta website says:""To increase the use of renewables to generate electricity and reduce emissions in Alberta, the government launched the Renewable Electricity Program. This program will add 5,000 megawatts of renewable electricity capacity by 2030 and puts Alberta on a path to achieve a target of 30 per cent renewable energy by that time.""The Government of Alberta is auctioning the contracts to build the new renewable energy generation in Alberta.  The competition ensures the renewable energy capacity will be delivered at attractive prices for Alberta's electricity rate payers.  Three successful bids from the first round of competition were announced Dec 13, 2017.From the Government of Alberta website:( https://www.alberta.ca/renewable-electricity-program.aspx )""Round one set a record for the lowest renewable electricity pricing in Canada with a weighted average price of 3.7 cents per kilowatt-hour. By comparison, the weighted average price for Ontario’s large renewable procurement in 2016 was 8.5 cents per kilowatt-hour.The successful companies will develop 600 megawatts of renewable electricity, enough to power 255,000 homes. This is 200 megawatts more than planned due to better-than-expected bid prices from developers. Projects will be operational by the end of 2019.""",City of Calgary
City-wide,Total installed capacity of renewable electricity (in MW),2000,,,2030,,,,,City of Cambridge
City-wide,All electricity consumed (in MWh),2000,,,2020,,,,,City of Cambridge
Local government operations,All electricity consumed (in MWh),2008,,,2020,,100,,,City of Cambridge
Local government operations,All energy consumed (in MWh),2015,,,2030,,100,0,Achieving this governmental operations target will be a task that will be an interface across all the SEAP Work Packages. It is likely to have differing timescales to align with business needs. The goal of the internal city operations is on a faster trajectory that the external work packages. It will build upon existing Rider programs and look for additional novel opportunities.,City of Charlotte
Local government operations,All energy consumed (in MWh),2015,2266000,5.8,2025,2266000,100,6,City looking to begin installing solar on vacant land in early 2019,City of Chicago
City-wide,All electricity produced (in MWh),2017,,43,2035,,100,43,"The City has worked with the local utility SDG&E to encourage and assist with their adoption of renewable ahead of the state's RPS requirements.  We have additionally outlined he following policies in our CAP aimed at helping reach our goal: - Conduct a CCA Feasibility Study to identify costs and benefits for City Council consideration, Evaluate potential to partner with private sector to utilize municipal facilities for community solar projects (such as to support SDG&E’s EcoShare program), Promote “green” electricity credits and tariffs such as SDG&E’s EcoChoice.  The CCA feasibility study has just been released with staff going to City Council in late July 2019 with the results and direction on next steps.  https://www.chulavistaca.gov/departments/clean/conservation/climate-action-plan/community-choice-aggregation",City of Chula Vista
City-wide,Total installed capacity of renewable energy (in MW),2018,15.54,,2020,38.7,,18.1,"The City has recently engaged a Buyer's Advocate to facilitate installation of a city-owned 25MW solar array that will be constructed 2019-2020. As a region, Greater Cincinnati has a goal of doubling renewable energy production each year through 2020. In order to meet this goal, we are educating the public about the city's transition to renewable energy generation, lobbying the state of Ohio to strengthen the market for solar projects, identifying and promoting renewable energy financing tools, expanding the Solar Power Purchase Agreement to include more solar panels on municipal facilities, using Virtual Net Metering to allow for shared solar projects, and implementing anaerobic digestion or other technologies to convert biomass to energy. We have recently secured $100K towards a 25MW solar array that will be constructed 2019-2020.",City of Cincinnati
City-wide,Total installed capacity of renewable energy (in MW),2018,,21.7,2035,100,,21.7,"We have recently secured $100K towards a 25MW solar array that will be constructed 2019-2020. As a region, Greater Cincinnati has a goal of doubling renewable energy production each year through 2020. In order to meet this goal, we are educating the public about the city's transition to renewable energy generation, lobbying the state of Ohio to strengthen the market for solar projects, identifying and promoting renewable energy financing tools, expanding the Solar Power Purchase Agreement to include more solar panels on municipal facilities, using Virtual Net Metering to allow for shared solar projects, and implementing anaerobic digestion or other technologies to convert biomass to energy.",City of Cincinnati
City-wide,All electricity consumed (in MWh),2016,500430,7.8,2050,6237597,100,10,"ASSUMPTIONS:Assuming constant electricity demand from 2016 to 2050. Renewable portion of electricity generation profile increased from 7% in 2010 to 22.5% in 2017 for Cleveland Public Power and 2% to 4.5% for First Energy. In 2017, approximately 10% of electricity consumed in Cleveland came from renewable sources.Along with  implementing energy efficiency measures, plans to meet 100% renewable energy target includes: 1) Supporting Rooftop Solar2) Supporting Community Solar3) Green Power Program (Help homes and business easily procure renewable energy through their utility)4) Renewable Energy Procurement (Collaborate with the utility to procure large renewable energy project(s) to meet community needs)5) Utility Mix (Green the utility's electric supply)6) Large Renewable Energy Purchase Program (Help largest energy users easily procure renewable energy through their utility)",City of Cleveland
City-wide,All energy produced (in MWh),2014,86405,10,2017,189500,15.7,100,"The city plans to generate or purchase electricity generated from eligible renewable energy sources at the following levels:(1) Two (2) percent of electric retail sales (kWhs) by December 31, 2007;(2) Five (5) percent of electric retail sales (kWhs) by December 31, 2012;(3) Fifteen (15) percent of electric retail sales (kWhs) by December 31, 2017; and(4) Twenty-five (25) percent of electric retail sales (kWhs) by December 31, 2022.(5) Thirty (30) percent of electric retail sales (kWhs) by December 31, 2028.A new contract for wind energy from the Crystal Lake Wind Farm became effective January 1, 2017. An additional 27 megawatts of windgeneration should produce around 70,000 megawatt hours of wind energy during 2017. The last generator for the existing building at thelandfill is expected to be installed in late 2018.It is estimated that over 12% of Columbia?s electric portfolio will come from existing renewable resources in 2017. The additional amount needed to reach the 15% goal for 2018 is being researched. Columbia Water & Light staff members will be investigating options for more wind and/or solar energy.","City of Columbia, MO"
Local government operations,All electricity consumed (in MWh),2015,45620,15.9,2020,63898,20,0,"Beginning in June, 2018, Columbus Municipal Power began sourcing 20% of its electricity from renewable energy sources (or offset via RECs) for streetlights and facilities, and the City began purchasing 50% of its electricity for facilities from renewable sources through AEP Ohio.  Beginning January 1, 2019, Columbus Municipal Power began purchasing 50% of its electricity need for streetlights and facilities from renewable sources (or offset by RECs), and the City maintained a 50% purchase level of electricity from renewable sources via AEP Ohio for its facilities.  It is estimated that renewable sources of electricity will provide electricity for 48% of the City's operational demand in 2019.  In addition, a Renewable Energy Study was begun in spring, 2019, with intention to add renewable energy to city-owned properties  and to explore 100% renewable energy by 2050.",City of Columbus
City-wide,All energy consumed (in MWh),2015,66789,0.8,2020,992328,10,15.1,"The City is currently working on plans to reinstate and increase hydro-power production to 10 MW at the O'Shaughnessy hydro-power plant, install combined heat and power at waste-water treatment plants, and to develop a plan to install renewable energy generation (likely solar) at City-owned properties through the current Renewable Energy Study.   By increasing the number of RECs purchased, electricity purchased via renewable PPAs, or other sources of renewable electricity or offsets,  for City-owned properties, it is estimated that these will provide renewable energy for 48% of the City's electricity in 2019.  The City's Division of Power (that provides electricity to Columbus Municipal Power customers) strives to help customers offset 100% of their electricity usage through renewable energy credits available for residential and small business customers as part of programs such as Community Choice Aggregation and Columbus’ EcoSmart program.",City of Columbus
Local government operations,All electricity consumed (in MWh),,,,2019,,100,100,"Making it one of the few cities in Los Angeles and Ventura counties to do so, in February 2018 the City Council selected 100% renewable power from the Clean Power Alliance (CPA), which will commence the first quarter of 2019. Clean Power Alliance gets its electricity from suppliers that have gone through a rigorous qualification and selection process. These suppliers get their electricity from a variety of generation sources, including solar, wind, hydro and geothermal.","City of Culver City, CA"
Local government operations,Other: 100% of municipal electricity from renewable sources.,2010,,16,2020,,100,100,Create Community Choice Energy option with the target: 100% of municipal electricity use in 2020 comes from 100% renewable or zero carbon sources via the CCE program.,City of Cupertino
Local government operations,All electricity consumed (in MWh),2015,357543,62,2017,718272,100,100,The City of Dallas purchases wind renewable energy credits equivalent to 100% of municipal electricity use. The city provides bio-gas to a cogen facility that provides 50% or the electricity to operate the 280 million gallon per day regional wastewater treatment plant.  Landfill gas from the city owned MSW landfill is processed for sale as for renewable energy. The 2019 Green Energy Policy sets forth the transition from RECs to onsite and offsite generated electricity.,City of Dallas
City-wide,All electricity consumed (in MWh),2015,515927,43.7,2024,1625000,100,73.3,"After years of research, DME came to the conclusion that building a natural gas plant is the best option for securing our Renewable Energy targets. The proposed Denton Energy Center will enable DME to provide 70% renewable energy to residents by generating the on-demand power necessary to sustain production gaps that naturally occur with renewable energy sources. Projected energy sources are as follows; Renewables = 70% (52% Wind, 17% Solar, 1% Landfill Gas); Market Mix = 17%; Quick Start Natural Gas Plant = 13%.","City of Denton, TX"
Local government operations,All electricity produced (in MWh),2005,0,0,2025,368000000,100,27.4,Denver is subscribing to utility scale renewable generation offered by the Utility in addition to developing our own renewable resources and/or through Power Purchase Agreements. Percentage of target calculated by 40.7 GWh of RE subscriptions or self generation + 60.0 GWh of RE included in the delivered Xcel grid mix out of 368.0 GWh of total electricity.,City of Denver
City-wide,All electricity produced (in MWh),2005,0,0,2030,6785420,100,19.8,"Calculated based on 2017 Xcel Community Report and 2017 RES energy compliance report. 1.8% of renewables obtained through voluntary programs, remainder through grid mix. (Net metering excluded)",City of Denver
City-wide,Total installed capacity of renewable energy (in MW),2018,3.3,,2024,6.6,,,"Action #40 in the Sustainability Action Agenda aims to increase the adoption of Solar PV in the city. We will develop a streamlined solar permitting process in conjunction with DTE. We will publicize existing finance and funding opportunities for integrating solar development into private projects and encourage developers to consider solar PV or other renewable energy technology in new housing and commercial projects. We are also developing a solar potential map that will help property owners and developers quickly evaluate the opportunity to integrate solar PV into existing and new development projects. Finally, we will evaluate opportunities to install solar PV systems on municipal buildings and facilities to lead by example.",City of Detroit
Local government operations,All energy consumed (in MWh),2018,0,0,2050,100,100,0,"Will develop a plan by 2020 outlining how to achieve goals.  Includes electricity, natural gas, and vehicle fuels in government operations.",City of Durham
City-wide,Total installed capacity of renewable energy (in MW),2015,,27,2050,,100,27,"A major contribution to this goal will be working with Xcel Energy. Although they do not have a 100% renewable energy goal, the efforts to invest in renewables such as wind and solar put the City of Eau Claire in a position to make real progress. The City is currently working in partnership with Xcel Energy through the Partners in Energy (PiE) program to develop the Renewable Energy Action Plan (REAP). This plan will address pathways and strategies for the City to achieve 100% renewable energy and carbon neutrality for the municipal operations and community by 2050. REAP will also be paired with an electric vehicle study and Net-Zero Design Guide which will further address strategic actions to lower our carbon footprint and increase the use of renewable energy for the community and municipality.","City of Eau Claire, WI"
City-wide,All energy consumed (in MWh),,,0,2035,,10,0.1,"The objective in the Community Energy Transition Strategy is to generate 10% of Edmonton's electricity locally by 2035. This is a moving target from the baseline as the objective is to generate 10% of the 2035 consumption level locally, not just 10% of the 2015 baseline consumption level by 2035.",City of Edmonton
City-wide,All electricity consumed (in MWh),2012,62997,19.2,2030,,100,35,These targets related to the  CAP City Action RE-1:  Establish a Community Choice Energy Program  wit ha goal of delivering 100 percent renewable electricity by 2030.,"City of Encinitas, CA"
City-wide,All electricity consumed (in MWh),2005,0,0,2030,730975,100,24,100% renewable electricity for residents and small businesses through Community Choice Electricity Aggregation since 2012. Working to develop a strategy to get large employers to increase or begin their purchase of renewable energy. We are also working to get solar installations on numerous public buildings as a way of demonstrating the feasibility of onsite solar generation on multiple facilities.,"City of Evanston, IL"
City-wide,All energy consumed (in MWh),2010,0,0,2050,804341,100,22,1. Advocate to increase utility companies renewable energy portfolio (more wind generation)2. Increase the number of local solar PV installations (offer PACE financing mechanism for local private companies) 3.  Advance state level policies that allow 3rd party financing and ownership to expand access to renewable energy development (completed),"City of Fayetteville, AR"
Local government operations,All electricity produced (in MWh),2010,0,0,2030,12316,100,16,Installing 10MW PV Solar at wastewater treaments plants in 2019.  Project near completion.  Will bring City government renewable percentage up to 72%,"City of Fayetteville, AR"
Local government operations,Other: Proportion of municipal electricity use from renewables to be 5.4%,2016,3097.8,8.2,2017,2767.56,7.74,100,The City of Flagstaff hit and exceeded its goal of using 5.4% renewable energy.,City of Flagstaff
Local government operations,Other: Proportion of municipal electricity use from renewables to be 100% by 2025,2016,3097.8,8.2,2025,,100,7.7,"Local solar installations, cogeneration unit, solar thermal installations, wind energy, hydroelectric from Hoover Dam.",City of Flagstaff
City-wide,Other: Proportion of community electricity use from renewables to be 35% by 2030,2017,4532.195122,12,2030,13218.90244,35,34.29,"Local solar installations, cogeneration unit, solar thermal installations, wind energy, hydroelectric from Hoover Dam.",City of Flagstaff
City-wide,Other,2005,,,2020,,,,,City of Fort Collins
Local government operations,All energy produced (in MWh),,,,2025,,100,55,"In December 2016, the Hayward City Council unanimously approved a Resolution establishing a Zero Net Energy Goal for municipal facilities in the City of Hayward. By 2025, the City will strive to achieve ZNE for its portfolio of facilities.To meet this goal:-More City facilities will produce and/or use renewable energy produced on-site.-More City facilities will produce as much energy on-site as they consume over the course of a year, therefore 'zeroing-out' their consumption.-Some City facilities, which currently generate excess renewable energy, will offset electricity and natural gas use at other buildings. City facilities that currently produce renewable energy include the Water Pollution Control Facility, Animal Shelter, Utilities Center, and the Corporation Yard.",City of Hayward
City-wide,Total installed capacity of renewable electricity (in MW),2014,151.2,0.6,2025,,20,0,"We do not have a detailed plan yet of how we are going to meet our target. However, we are actively exploring options.","City of Hollywood, FL"
Local government operations,All electricity consumed (in MWh),,,,,,100,92,"The city aims to cover all municipal operation energy usage in total kWh with renewable energy sources. This has primarily been achieved through purchasing RECs and PPAs. Currently, the city meets just over 92% of its electricity demand with renewable sources. This target is open ended and does not have a clear target year or start year, however, the mayor has committed to maintain REC purchasing until at least 2020 maintaining at least 90% renewable energy. The main obstacle in reaching the 100%  renewable goal is the accessibility and affordability of green power.",City of Houston
City-wide,Total installed capacity of renewable energy (in MW),2018,,10,2025,,25,13.3,"The “conversion of two coal-fired power plants and a coal-fired steam plant to natural gas…” has “…resulted in a 60% reduction in GHG emissions related to energy generation” (Thrive, p. 49). IPL’s Green Power Option for ratepayers (Thrive, p. 29). Establishing “low-interest loans for energy efficiency and renewable energy improvements in new and existing and existing buildings” (BE:1C) (Thrive, p. 33).",City of Indianapolis
City-wide,All electricity produced (in MWh),2010,,1.7,2025,,100,51,"MidAmerican Energy, Iowa City's primary electricity provider, generated 51% of its electricity from renewable sources in 2018, and plans to be 100% renewable by the end of 2020. Numbers above are for MidAmerican and do not take into account the University of Iowa power plant, or other smaller utilities. The University recently made a commitment to be 100% coal free by 2025 and is replacing coal with biomass.`",City of Iowa City
Local government operations,All electricity consumed (in MWh),,,,2025,,100,,,"City of Ithaca, NY"
Local government operations,All electricity consumed (in MWh),2007,23700,14,2025,0,25,26,,"City of La Crosse, WI"
City-wide,All energy consumed (in MWh),2010,,,2025,,45,,"Lakewood Sustainability Plan, Strategy BE1-A, pg. 37Lakewood has achieved 28% of its electricity from renewable sources, but does not know the total renewable energy percentage that would include energy from transportation and heating fuel.",City of Lakewood
Local government operations,All energy consumed (in MWh),2010,,,2025,1,45,,"Lakewood Sustainability Plan, Strategy BE1-D, pg. 39 - Municipal Renewable Energy GenerationLakewood has achieved 28% of its municipal electricity from renewable sources, but electricity is only 35% of municipal energy use, which also includes transportation and heating fuel.",City of Lakewood
City-wide,All electricity consumed (in MWh),2010,173,,2020,,33,100,"City ordinance requiring solar panels on new residential rooftops, encouraging the development of solar projects.",City of Lancaster
Local government operations,All energy consumed (in MWh),2016,12200,10,2018,100,100,100,"The City announced that beginning in 2017, the City, through a Renewable Energy Agreement with the state’s investor-owned utility NV Energy, will receive energy produced by a solar facility near Boulder City, coupled with power from NV Energy that already satisfies Nevada’s renewable portfolio standard allowing 100 percent of the City’s retail load to be served by renewable energy, bringing the city to net zero.",City of Las Vegas
City-wide,All electricity consumed (in MWh),1997,1,0.001,2030,3044832,50,0.069330704,"Pursuant to SB 350 (2019), that state of Nevada has increased its renewable portfolio standard to 50% by 2030.",City of Las Vegas
City-wide,Total installed capacity of renewable electricity (in MW),2012,3,33,2018,10,33,100,"Note that the percentage renewable energy figures represent the supply mix for Ontario's electricity grid, whereas total renewable energy represents installed capacity within London.Exceeded target - as of March 2018, there was 14.8 megawatts of solar photovoltaic (PV), 2.85 megawatts of biogas, and 0.675 megawatts of hydro-electric power generation in operation in London.","City of London, ON"
Local government operations,Total installed capacity of renewable electricity (in MW),,,,2020,2,,,The above targets were set in the Sustainable City Action Plan (2010).  Further targets and a strategies to meet them will be discussed in the upcoming Climate Action and Adaptation Plan.,City of Long Beach
City-wide,Total installed capacity of renewable electricity (in MW),,,,2020,8,,,The above targets were set in the Sustainable City Action Plan (2010).  Further targets and a strategies to meet them will be discussed in the upcoming Climate Action and Adaptation Plan.,City of Long Beach
City-wide,All energy consumed (in MWh),2015,98482592,25,2045,121590255,100,7,"http://plan.lamayor.org/sites/default/files/pLAn_2019_final.pdf						",City of Los Angeles
Local government operations,Other: Increase the use of renewable energy technologies in city-owned buildings 50% by 2025,,,,,,,,,"City of Louisville, KY"
City-wide,All electricity produced (in MWh),2019,4000,3,2050,3123408,100,10,"The City will pursue a mix of supply-side strategies, including the following potential solutions:  fast-tracking solar permitting and inspections, reviewing Madison city policies and practices to align with the 100% renewable energy goal, establish a green revolving fund, piloting additional solar with energy storage and EV charging stations, investing in safe, efficient, and affordable housing, planning for EV charging infrastructure, developing and promoting community solar options, promoting solar in land-use planning, promoting clean energy policies for Wisconsin, incentivizing affordable clean energy in the community, developing investment options for community clean energy, continuing to expand education / outreach / programs, and developing green zones and energy investment districts policy framework. These solutions are further outlined in the 100% renewable energy report prepared by a consultant to the City of Madison.",City of Madison
